Algoritmo;;Hill Climbing;;;;;;Simulated Annealing;;;;;;Genético;;;;
Tamaño;;4x4;8x8;10x10;12x12;15x15;;4x4;8x8;10x10;12x12;15x15;;4x4;8x8;10x10;12x12;15x15
Estados;;3;3;2;3;6;;141;250;250;250;250;;1;3;250;250;34
;;1;4;4;6;5;;250;250;250;250;250;;0;250;18;15;37
;;0;3;3;4;6;;10;250;250;250;250;;0;10;33;250;250
;;1;2;3;2;7;;18;250;250;250;250;;0;11;250;250;250
;;2;4;4;4;7;;44;250;250;250;250;;0;0;250;40;250
;;2;4;5;3;5;;35;250;250;250;250;;0;13;13;250;250
;;3;3;6;4;5;;34;250;250;250;250;;0;16;15;250;250
;;1;2;5;6;4;;213;250;250;250;250;;1;3;250;250;250
;;2;4;3;7;6;;81;250;250;250;250;;1;9;19;250;250
;;1;2;5;4;6;;11;250;250;250;250;;0;15;24;7;250
;;1;3;4;5;7;;155;250;250;250;250;;0;29;20;21;250
;;1;3;3;5;6;;63;250;250;250;250;;0;14;25;250;250
;;2;3;3;5;5;;25;250;250;250;250;;1;11;250;38;250
;;0;4;4;5;4;;192;250;250;250;250;;0;7;16;250;250
;;1;2;4;6;6;;250;250;250;250;250;;0;9;250;250;250
;;2;3;4;5;4;;250;250;250;250;250;;0;7;25;250;250
;;1;2;4;4;4;;16;250;250;250;250;;1;4;29;250;250
;;1;2;3;3;7;;34;250;250;250;250;;1;3;250;250;250
;;0;3;3;4;5;;38;250;250;250;250;;0;4;12;250;250
;;2;2;3;5;4;;150;250;250;250;250;;1;9;20;250;250
Tiempos;;0,00000;0,00266;0,00822;0,00648;0,10828;;0,00422;0,00100;0,00996;0,01366;0,01354;;0,00000;0,00300;1,18339;2,44999;0,52483
;;0,00000;0,00000;0,01353;0,02047;0,06934;;0,00000;0,00718;0,00744;0,00242;0,01500;;0,00000;1,00997;0,07964;0,15819;0,62396
;;0,00000;0,00804;0,00805;0,01453;0,08371;;0,00000;0,00000;0,00104;0,00899;0,01641;;0,00000;0,08480;0,15741;2,55672;3,66501
;;0,00000;0,00739;0,00839;0,01172;0,07171;;0,00000;0,01464;0,00805;0,00520;0,01341;;0,00801;0,04976;1,61364;2,31820;3,28820
;;0,00100;0,00841;0,00801;0,01350;0,12322;;0,00000;0,01165;0,01014;0,00863;0,01653;;0,00000;0,00238;2,19089;0,39119;3,48302
;;0,00000;0,00000;0,03449;0,01665;0,07564;;0,00000;0,00596;0,01384;0,00806;0,01664;;0,00000;0,03857;0,12499;1,70018;3,25755
;;0,00104;0,00689;0,02680;0,01668;0,03527;;0,00000;0,01669;0,00945;0,00805;0,02533;;0,00000;0,04141;0,11788;2,02298;2,94645
;;0,00000;0,00000;0,01476;0,02568;0,03849;;0,00860;0,00000;0,01518;0,01663;0,01979;;0,00656;0,01148;1,91724;2,61608;3,87606
;;0,00000;0,00806;0,02384;0,02736;0,07616;;0,00000;0,00805;0,01788;0,01056;0,02252;;0,00467;0,04495;0,11897;2,69949;3,98452
;;0,00000;0,00000;0,01664;0,01004;0,05622;;0,00000;0,00753;0,00837;0,00801;0,02424;;0,00100;0,04971;0,14917;0,08132;3,70440
;;0,00000;0,00758;0,01766;0,01066;0,07185;;0,00802;0,00202;0,00199;0,01907;0,01771;;0,00000;0,10006;0,15384;0,23532;3,61450
;;0,00099;0,00200;0,00858;0,02039;0,06291;;0,00000;0,00805;0,00803;0,01338;0,01660;;0,00000;0,04235;0,18588;2,09006;3,77803
;;0,00000;0,00000;0,00000;0,01208;0,05145;;0,00000;0,00759;0,00458;0,01665;0,01783;;0,00000;0,03387;1,35457;0,42512;3,14622
;;0,00000;0,00801;0,00800;0,01800;0,05049;;0,00807;0,00805;0,00103;0,00860;0,01760;;0,00804;0,04143;0,14658;1,98391;2,85246
;;0,00000;0,00000;0,00664;0,02585;0,05965;;0,00000;0,00964;0,00919;0,00805;0,01466;;0,00394;0,06765;1,18811;2,47325;2,93951
;;0,00000;0,00752;0,00400;0,03878;0,05092;;0,00000;0,00805;0,01045;0,01665;0,01557;;0,00000;0,04049;0,18716;2,50920;2,85644
;;0,00000;0,00256;0,00000;0,01064;0,06292;;0,00000;0,00652;0,01825;0,00753;0,00900;;0,00000;0,03256;0,12264;2,06463;3,39763
;;0,00000;0,00800;0,00800;0,01717;0,10777;;0,00755;0,00403;0,00801;0,00000;0,00860;;0,00804;0,01843;1,40331;2,05302;3,82732
;;0,00000;0,00611;0,00665;0,01020;0,05110;;0,00100;0,00000;0,00548;0,01976;0,00000;;0,00000;0,02442;0,07475;2,51439;3,69241
;;0,00000;0,00805;0,00000;0,02420;0,05919;;0,00000;0,01469;0,00889;0,01362;0,00800;;0,00860;0,04879;0,21557;2,46615;3,79058
